amfi_code,cagr_1yr,cagr_3yr,cagr_5yr
100016,-0.04337448852424031,-0.017959562001467755,0.03720360220671859
100025,0.02691255994614905,0.04110461286570177,0.02922786179836301
100033,0.35724198361105297,0.24407712694865258,0.23105606605005735
101206,0.3751661842669647,0.22397738480380092,0.1742773080339386
101207,-0.09195870184657506,-0.05573632895491687,0.013231027096094694
101208,0.05132872812178446,0.04341410877385754,0.043190952255171666
102885,0.1397926542801473,0.13106842740248603,0.13163421988259638
102886,-0.2008813191275144,-0.03660262205002596,0.015128721254252575
102887,-0.08326674925269795,0.17218950045568304,0.16360982202633845
118632,0.18211611438005293,0.13180371331935214,0.1722179620870714
118633,0.16708053404818357,0.16725779765765947,0.11143462126399317
118634,0.3027856379299503,0.05810467306022904,0.0794119764449579
118635,0.12285729798755618,0.13172562069891391,0.1488404346339134
118636,0.08232705338338975,0.055363697415269586,0.021938143106533525
119092,0.047121680545571865,0.0005165442734509362,0.01857401366900424
119093,0.1139813282280886,0.08934349507083406,0.10708466587218002
119094,0.21259874836943626,0.2129444205806197,0.23485824409732237
119095,-0.22106103077905137,-0.09741731006848708,-0.0553531019339597
119120,0.021872572751472363,0.029452095372302534,0.04552693019239351
119551,0.32866720944614225,0.2856016945105937,0.19512942058495808
119552,0.12747554639452074,0.05163223794670091,0.1563789728823306
119598,0.39919172191468943,0.1893418846260404,0.1793077552049367
119599,0.22954094840900252,-0.0345659533931818,-0.06413797424850731
120503,0.05670259378211373,0.09854016337787797,0.08831423081189249
120504,0.17131375603555865,0.13177354360397864,0.17339678265758596
120505,0.2748332876783839,0.1572230933233587,0.1810594011394009
120506,0.24867643676120288,0.1423100984087342,0.12961424835054647
120507,0.05124365754131732,0.04956840603900603,0.049363372221083335
120841,0.2985358151996942,0.06332981690316175,0.12390909882532863
120842,0.1253759959040448,0.09841396578857076,0.05587260153271467
120843,0.2505703573524387,0.2166999341232414,0.2292806104426337
120844,0.052657100245451005,0.04515064482049791,0.04620688351737523
125497,0.2959273093332675,0.1492634581454797,0.13345586655067976
125498,0.3982593939501913,0.11287915126370995,0.10747197391389718
148567,0.044588680176518514,0.25127469643415923,0.18323272098955767
148568,0.1835553148835174,0.10109386275223997,0.11160113145194894
148569,0.40286907598243227,0.20890367973052104,0.18828604178242836
149322,0.08561950349466274,0.13591757240129332,0.10919053004342238
149323,0.11010465604482333,0.24693333598123646,0.23444158873417997
149324,0.38616771101626135,0.17045551126002367,0.21546670526822598
