amfi_code,Calculated_Ann_Return,Calculated_Volatility,Calculated_Sharpe,Calculated_Max_Drawdown
100016,0.025434874968783383,0.14548134802183876,-0.2719601211371601,-0.247344408806733
100025,0.0429865249492698,0.039052455281001604,-0.5636899112317634,-0.04308263824636346
100033,0.28927866026530746,0.18936710835214166,1.1843591118698675,-0.1621720857464485
101206,0.22626535384993463,0.14568212847454326,1.1069673098448338,-0.11291596329323078
101207,0.07650158706195653,0.2579732221707774,0.04458442223256226,-0.3544691649336603
101208,0.06273896744282892,0.005064371352310742,-0.4464586816169064,-0.001622498024471732
102885,0.17540419091514203,0.1283662839786056,0.8600715662497695,-0.10859862152502323
102886,0.01130448106671289,0.18134576297311303,-0.2960946980671845,-0.2800112356639287
102887,0.1620550058321799,0.15758366917912994,0.6158950755351092,-0.21539827112383228
118632,0.23116077255008172,0.14148352294996655,1.1744178338621232,-0.17414075086657232
118633,0.1566139548382559,0.13997213649186155,0.6545156567184545,-0.1862974313859551
118634,0.1575666729298264,0.2524152094634046,0.36672383223898714,-0.2334488614483311
118635,0.153571162915898,0.12983158874316306,0.6822004088012222,-0.11650624505409093
118636,0.051258538689833655,0.039855381553882616,-0.34478308259547163,-0.08316361763638701
119092,0.0613809936183749,0.13950661341123835,-0.025941468243924567,-0.14401617909337266
119093,0.07610501956376425,0.13983295593638856,0.07941632563940104,-0.2175139637014823
119094,0.2710247289332701,0.1940711742333472,1.0615936640108656,-0.20960883862039192
119095,0.014677909675495648,0.2506658023260044,-0.2007537121440194,-0.5167775370852657
119120,0.056772629810672326,0.039670623690338705,-0.20739200506523298,-0.043287289239700974
119551,0.24796597841572576,0.13741434141879644,1.331491142238946,-0.15012385498645334
119552,0.20696789746966338,0.13939367612717501,1.0184672749439492,-0.118034935027643
119598,0.31126560032445894,0.25140578624384674,0.9795542258744905,-0.28706005721764555
119599,0.019817724717167584,0.24950125122855862,-0.18109037554061264,-0.525742211701285
120503,0.18070820555282685,0.1388443751311979,0.8333661730515979,-0.13897862823061635
120504,0.2239354198337271,0.14363780566736659,1.1065013078923416,-0.12588275606922514
120505,0.3151243799400487,0.19290949406318195,1.2965892692566374,-0.1818851357211629
120506,0.16439416926901074,0.15230516379673067,0.6525988140603299,-0.1982565826298267
120507,0.06975241651998254,0.0049391262595120155,0.9621978200759898,-0.000977314004592568
120841,0.1302833697232273,0.13463795800784448,0.48488086635585825,-0.17573614164687285
120842,0.06459250268658301,0.17894715006571874,-0.002277193647774436,-0.24003511326274882
120843,0.29677649274395934,0.1588698652360926,1.458907845106572,-0.1297396816518679
120844,0.06665013659448782,0.005133170487371137,0.3214653786675426,-0.0011629327956168764
125497,0.18293785974311194,0.14668866752399518,0.8040011661011223,-0.15200013055606393
125498,0.10884920788756003,0.18352430087335778,0.23892861969172396,-0.2111727956013212
148567,0.29741361253938003,0.1419370675462035,1.6374412727931307,-0.1126572907502827
148568,0.2164797642483942,0.15429144469823297,0.9817768220698309,-0.1527259422823477
148569,0.3067361112254461,0.17674006691346694,1.3677493476552864,-0.16396742946932633
149322,0.1289486315190469,0.14353859818510503,0.4455152295452947,-0.14844576917771746
149323,0.28409564547344,0.17746159397550842,1.2346087993759232,-0.17248105753451382
149324,0.3099651795998992,0.24840205005242097,0.9861640817706759,-0.3117190030063422
