amfi_code,sharpe_ratio
100016,-0.321019260499541
100025,-1.0399413574427716
100033,0.8082678003905579
101206,0.7174089959890152
101207,0.05261813647585479
101208,-4.6504007071509195
102885,0.5197971450361782
102886,-0.29488891285109065
102887,0.3846373345033857
118632,0.7588510310771465
118633,0.38882884600017614
118634,0.29234325101099135
118635,0.39318819691240475
118636,-0.8505789759662259
119092,-0.1310091688396525
119093,-0.04707325681075903
119094,0.7305467735561743
119095,-0.15165815861644075
119120,-0.7430986305648438
119551,0.8609773262277789
119552,0.6482414723266914
119598,0.7116901743847246
119599,-0.13617811182970346
120503,0.5165503915082112
120504,0.7146822636441219
120505,0.8832556184698852
120506,0.4046154783292057
120507,-3.650183878568494
120841,0.2551174125622313
120842,-0.058166811414922574
120843,0.965560651744012
120844,-4.0003489692334275
125497,0.5062729716095972
125498,0.1347978410610398
148567,1.068223827231475
148568,0.6406730942266665
148569,0.9190465356358312
149322,0.239663367772852
149323,0.8328852279505937
149324,0.7144216579880999
