amfi_code,sortino_ratio
100016,-0.4711362209088779
100025,-1.5276086031208167
100033,1.1844238425713358
101206,1.0787954387707404
101207,0.07612342213110188
101208,-9.181206799250909
102885,0.776798118091619
102886,-0.4167758049116468
102887,0.5769204679491385
118632,1.121481977276685
118633,0.5913204195362851
118634,0.41894705414580635
118635,0.5811744807468702
118636,-1.2685361796008705
119092,-0.189909209198803
119093,-0.06786887394458012
119094,1.0915457825224344
119095,-0.21717962604109617
119120,-1.0982754085807283
119551,1.3024726833694804
119552,0.9562581615720406
119598,1.067059036379538
119599,-0.1920522319987562
120503,0.7578453024522561
120504,1.0627887426854057
120505,1.3210875599083411
120506,0.5916414911641031
120507,-7.663441383946556
120841,0.3755659269634425
120842,-0.08170686710774017
120843,1.4859046726602798
120844,-8.201285361776648
125497,0.7503849123117107
125498,0.1933573961100776
148567,1.5548206252732935
148568,0.9567871793429309
148569,1.3870284683532013
149322,0.3438264105878008
149323,1.20180531294644
149324,1.055416940095184
